ID,Author,Title,ISBN,Rating,Genre
1,Charles Dickens,A Tale of Two Cities,99177615628,3,Drama
2,James Joyce,A Portait of the Artist as a Young Man,98155659891,4,Drama
3,Fyodor Dostoyevsky,Crime and Punishment,97826678161,2,Drama
4,Jane Austen,Pride and Prejudice,78192775621,5,Drama
5,Diana Gabaldon,Outlander,615572515112,5,Fantasy
6,Emily Bronte,Wuthering Heights,78192775621,5,Drama
7,Mary Shelley,Frankenstein,78712661612,4,Sci-Fi
8,Larry Niven,Ringworld,782627657134,5,Sci-Fi
9,Isaac Asimov,Foundation,867856985515,3,Sci-Fi
10,Henderson Meaddowcroft,Bandit Of The Void,2054057704,2,Adventure
11,Emmye Bagguley,Spy Without Sin,35738021900,2,Adventure
12,Sheilah Killik,Men Of Glory,4860125143,5,Adventure
13,Torre Poulston,Gods Of The Plague,5512625376,4,Adventure
14,Dud Cressy,Creators And Robots,531591979,1,Adventure
15,Michell Oldaker,Soldiers And Heirs,15604045621,2,Adventure
16,Everett Coopper,Nation Without Hate,7331247116,3,Adventure
17,Johny Van der Merwe,Death Of The Night,268678812.9,1,Adventure
18,Linoel Teffrey,Admiring The Past,54487461972,4,Adventure
19,Bartel Digle,Inventing My Enemies,389662309.6,3,Adventure
20,Thorn Blennerhassett,Cow In The River,4264976416,2,Children
21,Rosette Ashment,Snowman In My School,7262821077,1,Children
22,Linoel Pinck,Goats Of Dreams,39388095649,2,Children
23,Kipper Higgonet,Bears Of My Imagination,2736694579,3,Children
24,Nealy Peasby,Ghosts And Pigs,49012175219,2,Children
25,Vergil Kiln,Cows And Little Birds,19025480051,3,Children
26,Tiertza Dyde,Home Of Life,39211816520,2,Children
27,Violette Feaveryear,Mirror Of Tomorrow,8349714606,5,Children
28,Hugo Ceeley,Reading With My Town,3585721752,5,Children
29,Minna Bruyns,A Day With The Doctor,47621111171,1,Children
30,Pennie Grimbleby,Builder Of Hope,30226035517,5,Drama
31,Wilmer Denkin,Secretary With Silver Hair,41545054798,1,Drama
32,Alva Butt,Enemies With Sins,45912690585,2,Drama
33,Pattie Caron,Officers Without Direction,8114444779,1,Drama
34,Rossy Sussams,Traitors And Butchers,46887212262,5,Drama
35,Alic Cogar,Defenders And Servants,27414431885,3,Drama
36,Tammie Bonham,Perfection With Hoods,25380666703,4,Drama
37,Brandice Boucher,Beginning Of Repentance,21019316489,3,Drama
38,Pieter Briat,Bravery At The Past,5615818519,5,Drama
39,Karen Matthaus,Wrong About The Void,84003792256,4,Drama
40,Tamara Helix,Assassin Of The Eclipse,14858304385,1,Fantasy
41,Neel Alltimes,Fairy Of Secrets,5447981653,4,Fantasy
42,Salomo Jordi,Fairies Of The Stockades,5337768584,1,Fantasy
43,Callie Aleksich,Vultures Of Wind,55315157825,1,Fantasy
44,Ursulina Bess,Deceivers And Zombies,36864274973,5,Fantasy
45,Cynthea De Brett,Zombies And Enchanters,3483326863,5,Fantasy
46,Tuck Pauling,Bow With Honor,37954558684,4,Fantasy
47,Jessalin Smiley,Inception Of Fire,13024605455,4,Fantasy
48,Desiri Haylock,Fighting The Jungle,2509731101,2,Fantasy
49,Dicky Staining,Symbols Of The Home Of Demons,29508588216,3,Fantasy
